Compound ID,Smiles,pIC50,LogP,MW,nAR,HBA,HBD,nRings,nRB,TPSA
CHEMBL1783048,CCCc1cc(C2CCCCC2)ccc1OCCCOc1cccc([C@H]2SC(=O)NC2=O)c1,6.468521083,6.5588,467.631,2,5,1,4,10,64.63
CHEMBL1783055,CCCc1cc(Oc2ccc(Cl)c(C)c2)ccc1OCCCOc1cccc([C@@H]2SC(=O)NC2=O)c1,7.251811973,7.26522,526.054,3,6,1,4,11,73.86
CHEMBL1783056,CCCc1cc(C2CCC(=O)CC2)ccc1OCCCOc1cccc([C@H]2OC(=O)NC2=O)c1,5.935542011,5.0212,465.546,2,6,1,4,10,90.93
CHEMBL1783058,Cc1ccc(OCCCOc2ccc(CCC(=O)O)cc2)c(Cl)c1,5.191114133,4.51352,348.826,2,3,1,2,9,55.76
CHEMBL1783059,CCCc1cc([C@H]2CC[C@H](O)CC2)ccc1OCCCOc1cccc([C@@H]2OC(=O)NC2=O)c1,6.744727495,4.813,467.562,2,6,2,4,10,94.09
CHEMBL1783061,CCCc1cc(C2CCC(C)(C)CC2)ccc1OCCCOc1cccc([C@@H]2OC(=O)NC2=O)c1,5.754487332,6.4783,479.617,2,5,1,4,10,73.86
CHEMBL1783064,CC(C)C1=CC(C)(C)Oc2cc(OCCCOc3ccc(CC(C)(C)C(=O)O)cc3)c(Cl)cc21,5.73400363,7.0516,487.036,2,4,1,3,10,64.99
CHEMBL1783065,CC1(C)C=C(c2cccc(C(F)(F)F)c2)c2ccc(OCCCOc3ccc(CC(C)(C)C(=O)O)cc3)cc2O1,5.73400363,7.8093,554.605,3,4,1,4,10,64.99
CHEMBL1783067,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc([C@H]2SC(=O)NC2=O)cc1,6.744727495,6.3034,477.582,3,6,1,4,11,73.86
CHEMBL178309,CC(C)c1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,5.301029996,5.4796,418.917,2,4,1,3,8,64.99
CHEMBL178659,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCC(C)(C)CC4)cc3Cl)cc2O1,5.244125144,7.4301,501.063,2,4,1,4,9,64.99
CHEMBL178909,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCC5(CC4)CC5)cc3Cl)cc2O1,5.346787486,6.794,485.02,2,4,1,5,8,64.99
CHEMBL179180,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1,6.004364805,5.6874,488.886,2,5,1,3,10,74.22
CHEMBL179452,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCCCC4)cc3Cl)cc2O1,5.236572006,6.4039,458.982,2,4,1,4,8,64.99
CHEMBL179542,CCC(Oc1ccccc1Cc1c(C)n(C(=O)c2ccc(OC)cc2)c2ccc(OC(F)(F)F)cc12)C(=O)O,8.522878745,6.37822,541.522,4,6,1,4,9,86.99
CHEMBL179622,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(CC(C)C)cc3Cl)cc2O1,5.744727495,5.9448,446.971,2,4,1,3,10,64.99
CHEMBL180019,CC(C)Cc1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,5.522939551,5.5547,432.944,2,4,1,3,9,64.99
CHEMBL180504,COc1cc(C[C@H](OC)C(=O)O)ccc1OCCCOc1ccc(Oc2ccccc2)cc1,7.886056648,4.9775,452.503,3,6,1,3,13,83.45
CHEMBL180912,O=C(O)C1CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1,5.387216143,4.9072,460.832,2,5,1,3,9,74.22
CHEMBL181087,COc1ccc2c(c1)c(Cc1ccccc1OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,6.477555766,5.35442,463.917,4,5,1,4,7,77.76
CHEMBL181141,COc1ccc2c(c1)c(Cc1cccc(OC(C)(C)C(=O)O)c1)c(C)n2C(=O)c1ccc(Cl)cc1,7.346787486,6.13302,491.971,4,5,1,4,7,77.76
CHEMBL181219,COc1ccc2c(c1)c(Cc1cccc(C(=O)O)c1)c(C)n2C(=O)c1ccc(Cl)cc1,6.681936665,5.58922,433.891,4,4,1,4,5,68.53
CHEMBL181644,CO[C@@H](Cc1ccc(OCCCOc2ccc(C(=O)c3ccccc3)cc2)c(Cl)c1)C(=O)O,8.301029996,5.061,468.933,3,5,1,3,12,82.06
CHEMBL181656,CO[C@@H](Cc1ccc(C#CCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,7.886056648,4.9416,416.473,3,4,1,3,9,64.99
CHEMBL181954,CO[C@@H](Cc1ccc(OCCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,7.468776625,4.9689,422.477,3,5,1,3,12,74.22
